CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
AMRE038;AME REG. ESP 038;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE039;AME REG. ESP 039;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE111;AME VENTA REG. ESP. 111;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AOIZ;AOIZ;INCOGEN;100;GENERACION;BAJA;ZONA ESPANOLA
AOIZ1;AOIZ;SOLANO 2000, S.L.;100;GENERACION;BAJA;ZONA ESPANOLA
APCSE01;AUTOPRODUCTOR SEVILLANA;ENDESA DISTRIBUCIÓN (CSE-I);100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APEND01;AUTOPRODUCTOR ENDESA DIST. EL.;ENDESA DISTRIBUCIÓN;100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APERZ01;AUTOPRODUCTOR ERZ;ENDESA DISTRIBUCIÓN (ERZ-I);100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APEV01;AUTOPRODUCTOR VIESGO;E.ON DISTRIBUCION, S.L.;100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APFEN01;AUTOPRODUCTOR FECSA-ENHER;ENDESA DISTRIBUCIÓN (FECSA);100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APHC01;AUTPRODUCTOR HIDROCANTÁBRICO;HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA, S.A.;100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APIB01;AUTOPRODUCTOR IBERDROLA;IBERDROLA DISTRIBUCIÓN;100;AUTOPRODUCTORES;BAJA;ZONA ESPANOLA
APOANDE;EXPORTACIÓN APOYO A ANDORRA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOANDI;IMPORTACIÓN APOYO POR ANDORRA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOFEDE;EXPORTACIÓN APOYO A ANDORRA;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA ANDORRA
APOFEDI;IMPORTACIÓN APOYO POR ANDORRA;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA ANDORRA
APOFRAE;EXPORTACION APOYO A FRANCIA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOFRAI;IMPORTACION APOYO POR FRANCIA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOMARE;EXPORTACION APOYO A MARRUECOS;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOMARI;IMPORTACION APOYO POR MARRUECO;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;;ZONA ESPANOLA
APOONEE;EXPORTACION APOYO A MARRUECOS;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA MARRUECOS
APOONEI;IMPORTACION APOYO POR MARRUECO;Cuenta de compensación Orden 29/12/1997 Art. 10;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA MARRUECOS
APOOSC1;EXPORTACION APOYO A PORTUGAL;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;ZONA ESPANOLA
APOOSC2;EXPORTACION APOYO A PORTUGAL;RED ELECTRICA CORPORACION, S.A.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA PORTUGAL
APOOSC3;EXPORTACION APOYO A FRANCIA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA FRANCIA
APOOSC4;EXPORTACIÓN APOYO A ANDORRA;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA ANDORRA
APOOSC5;EXPORTACION APOYO A MARRUECOS;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;FRONTERA MARRUECOS
APOOSV1;IMPORTACION APOYO POR PORTUGAL;RED ELECTRICA DE ESPANA, S.A.U.;100;CONTRATO INTERNACIONAL;BAJA;ZONA ESPANOLA
